,Unnamed: 0.1,id_number,date,timedate,end_time,pressure,altitude,temperature,rh,windspeed,lat,lon,abslon
101,101,190822a10,8/22/19 0:00,8/22/19 9:35,8/22/19 9:45,998.54,155,302.68,67.78,8.6,21.3154,,157.6624
102,102,190822a11,8/22/19 0:00,8/22/19 10:22,8/22/19 10:32,998.45,155,303.43,66.17,8.6,21.3154,,157.6624
103,103,190822a12,8/22/19 0:00,8/22/19 11:09,8/22/19 11:19,999.02,151,303.26,65.44,8.25,21.3154,,157.6624
104,104,190822a13,8/22/19 0:00,8/22/19 9:35,8/22/19 9:44,1014.58,20,304.54,66.5,6.46,21.3154,,157.6624
105,105,190822a14,8/22/19 0:00,8/22/19 10:22,8/22/19 10:31,1014.37,22,306.28,61.53,6.53,21.3154,,157.6624
106,106,190822a15,8/22/19 0:00,8/22/19 11:09,8/22/19 11:18,1014.2,24,305.76,62.46,6.34,21.3154,,157.6624
107,107,190822a2,8/22/19 0:00,8/22/19 10:22,8/22/19 10:32,944.41,621,297.56,84.88,10.48,21.3154,,157.6624
108,108,190822a3,8/22/19 0:00,8/22/19 11:09,8/22/19 11:19,945.13,614,297.83,83.17,10.08,21.3154,,157.6624
109,109,190822a4,8/22/19 0:00,8/22/19 9:35,8/22/19 9:45,961.45,472,297.64,86.05,10.08,21.3154,,157.6624
110,110,190822a5,8/22/19 0:00,8/22/19 10:22,8/22/19 10:32,963.27,456,298.46,85.43,10.03,21.3154,,157.6624
111,111,190822a6,8/22/19 0:00,8/22/19 11:09,8/22/19 11:19,964.15,448,298.36,84.86,9.64,21.3154,,157.6624
112,112,190822a7,8/22/19 0:00,8/22/19 9:35,8/22/19 9:45,979.97,312,301.05,70.55,9.5,21.3154,,157.6624
113,113,190822a8,8/22/19 0:00,8/22/19 10:22,8/22/19 10:32,980.56,307,301.69,69.64,9.48,21.3154,,157.6624
114,114,190822a9,8/22/19 0:00,8/22/19 11:09,8/22/19 11:19,981.55,299,301.86,67.67,9.09,21.3154,,157.6624
115,115,190910a1,9/10/19 0:00,9/10/19 9:49,9/10/19 10:02,944.41,631,296.87,86.67,10.51,21.3154,,157.6624
116,116,190910a10,9/10/19 0:00,9/10/19 9:49,9/10/19 9:59,999.99,153,302.32,68.52,8.59,21.3154,,157.6624
117,117,190910a11,9/10/19 0:00,9/10/19 10:30,9/10/19 10:40,982.5,301,300.93,71.38,8.93,21.3154,,157.6624
118,118,190910a12,9/10/19 0:00,9/10/19 11:13,9/10/19 11:23,980.81,316,300.6,73.26,10.58,21.3154,,157.6624
119,119,190910a13,9/10/19 0:00,9/10/19 9:50,9/10/19 10:00,1015.68,22,304.74,64.79,6.53,21.3154,,157.6624
120,120,190910a2,9/10/19 0:00,9/10/19 10:30,9/10/19 10:41,1016.53,15,305.36,62.59,5.84,21.3154,,157.6624
121,121,190910a3,9/10/19 0:00,9/10/19 11:13,9/10/19 11:24,1016.01,19,305.46,62.23,7.12,21.3154,,157.6624
122,122,190910a4,9/10/19 0:00,9/10/19 9:49,9/10/19 9:59,963.83,462,297.53,85.91,10.05,21.3154,,157.6624
123,123,190910a5,9/10/19 0:00,9/10/19 10:30,9/10/19 10:40,946.32,614,296.48,88.44,9.89,21.3154,,157.6624
124,124,190910a6,9/10/19 0:00,9/10/19 11:12,9/10/19 11:23,944.03,635,295.69,91.7,11.69,21.3154,,157.6624
125,125,190910a7,9/10/19 0:00,9/10/19 9:50,9/10/19 10:00,980.67,317,300.85,69.45,9.52,21.3154,,157.6624
126,126,190910a8,9/10/19 0:00,9/10/19 10:31,9/10/19 10:41,963.26,467,299.26,73.73,9.51,21.3154,,157.6624
